"","Date","Individual","Foreigner","Institution"
"244","18.07.18","1,637","925","-2,639"
"245","18.07.17","1,342","-888","522"
"246","18.07.16","2,883","-452","-2,657"
"247","18.07.13","-1,374","2,239","-941"
"248","18.07.12","880","-180","-858"
"249","18.07.11","1,351","2,018","-1,251"
"250","18.07.10","193","329","-1,158"
"251","18.07.09","-752","-594","1,222"
"252","18.07.06","-1,030","-3,820","4,589"
"253","18.07.05","319","-947","455"
"254","18.07.04","1,292","10","-1,536"
"255","18.07.03","-467","2,018","-1,795"
"256","18.07.02","2,427","1,156","-4,010"
"257","18.06.29","-553","1,652","-1,398"
"258","18.06.28","1,130","-2,889","1,408"
"259","18.06.27","802","1,587","-2,660"
"260","18.06.26","1,169","-3,237","2,678"
"261","18.06.25","87","-1,100","1,002"
"262","18.06.22","-88","60","-247"
"263","18.06.21","4,107","-1,282","-3,037"
"264","18.06.20","-1,179","1,136","-175"
"265","18.06.19","1,406","-2,151","318"
"266","18.06.18","-1,124","-3,206","4,293"
"267","18.06.15","2,670","-5,500","2,759"
"268","18.06.14","5,021","-4,703","-537"
"269","18.06.12","-93","-1,223","1,258"
"270","18.06.11","-2,575","-106","2,816"
"271","18.06.08","5,015","1,304","-6,616"
"272","18.06.07","-3,160","1,379","1,722"
"273","18.06.05","920","-86","-950"
"274","18.06.04","-912","177","548"
"275","18.06.01","-1,315","2,389","-1,234"
"276","18.05.31","2,412","9,507","-12,383"
"277","18.05.30","10,151","-6,857","-4,069"
"278","18.05.29","3,115","-2,294","-1,205"
"279","18.05.28","2,649","-1,618","-1,385"
"280","18.05.25","-4,810","3,310","1,206"
"281","18.05.24","851","328","-2,057"
"282","18.05.23","-712","2,738","-2,622"
"283","18.05.21","69","-761","332"
"284","18.05.18","-1,541","-387","1,513"
"285","18.05.17","1,455","-2,696","1,057"
"286","18.05.16","-1,750","112","2,486"
"287","18.05.15","3,949","-2,382","-1,969"
"288","18.05.14","-1,011","-947","1,692"
"289","18.05.11","-4,180","1,990","1,856"
"290","18.05.10","-730","-409","806"
"291","18.05.09","-414","-2,303","2,409"
"292","18.05.08","1,015","-334","-1,252"
"293","18.05.04","7,640","-224","-7,256"
"294","18.05.03","2,597","-3,239","188"
